plant_id,name,gppd_idnr,capacity_mw,fuel_id,commissioning_year,wepp_id,,owner,source,geolocation_source,year_of_capacity_data
581,Mandurah,AUS0000357,1.3,13,,1068498,,,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
582,Manildra Solar Farm,AUS0000604,46,11,,,,First Solar Australia,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
583,Marble Bar Diesel Backup,AUS0000365,1.28,8,,1030206,,Horizon Power,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
584,Maryborough,AUS0000346,7.5,2,,,,MSF Sugar,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
585,Maryvale Mill,AUS0000308,54.5,2,,1041168,,Australian Paper,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
586,McArthur River Mine,AUS0000424,78,4,,1016477,,Energy Developments Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
587,McKay Creek (Mount Beauty Hydro Scheme),AUS0000104,150,6,,1030170,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
588,Meadowbank,AUS0000122,40,6,,1019023,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
589,Meekatharra,AUS0000408,2.9,8,,1030207,,Energy Developments,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
590,Melbourne,AUS0000333,1.2,4,,1024609,,Cogent Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
591,Merredin,AUS0000450,82,4,,,,,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
592,Mica Creek,AUS0000446,325,4,,1023156,,Stanwell Corporation,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
593,Millmerran,AUS0000163,856,1,,1044066,,Intergen,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
594,Mintaro,AUS0000249,90,4,,1014353,,Synergen Power,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
595,Moorabool North Wind Farm,AUS0000602,131,#N/A,,,,Goldwind Australia,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
596,Moorabool South Wind Farm,AUS0000603,131,#N/A,,,,Goldwind Australia,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
597,Moranbah,AUS0000164,12.56,4,,1065304,,Energy Developments Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
598,Moranbah North,AUS0000054,45.7,4,,1071497,,Energy Development Projects (Australia) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
599,Moree,AUS0000491,60,11,,,,FRV-Fotowatio Renewable Ventures,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
600,Mornington,AUS0000093,1,13,,,,LMS Generation Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
601,Mortlake,AUS0000108,566,4,,1061737,,Origin Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
602,Mortons Lane Wind Farm,AUS0000492,20,#N/A,,,,China Guangdong Nuclear Wind Energy Company,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
603,Mount Keith Nickel Mine,AUS0000213,112,4,,1033315,,Southern Cross Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
604,Mount Magnet,AUS0000207,1.9,4,,1030209,,,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
605,Mount Millar Wind Farm,AUS0000061,70,#N/A,,,,Meridian Energy Australia,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
606,Mount Stuart,AUS0000165,423,8,,1009778,,Origin Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
607,Mt Gambier,AUS0000443,10,2,,1014354,,Carter Holt Harvey Wood Products Australia Pty Limited,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
608,Mt Gellibrand Wind Farm,AUS0000494,189,#N/A,,,,Acciona Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
609,Mt Mercer Wind Farm,AUS0000478,131,#N/A,,,,,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
610,Mt Piper,AUS0000281,1400,1,,,,Delta,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
611,Mugga Lane,AUS0000034,3.5,13,,,,Energy Developments LFG (ACT) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
612,Mugga Lane Solar Park,AUS0000617,13,11,,,,Maoneng Australia,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
